Region,Country,1 Star,2 Stars,3 Stars,Total
Europe,France,533,66,30,629
Europe,Italy,342,38,13,393
Europe,Germany,280,38,10,328
Europe,Spain,224,26,15,265
Europe,UK,158,16,9,183
Europe,Belgium,126,10,2,138
Europe,Switzerland,119,13,4,136
Europe,Netherlands,110,11,1,122
Europe,Denmark,34,17,8,59
Europe,Portugal,31,8,0,39
Europe,Sweden,17,4,1,22
Europe,Norway,14,4,2,20
Europe,Ireland,14,4,0,18
Europe,Austria,11,3,2,16
Europe,Greece,10,2,0,12
Europe,Turkey,10,2,0,12
Europe,Croatia,11,0,0,11
Europe,Luxembourg,10,0,0,10
Europe,Slovenia,9,0,1,10
Europe,Finland,8,1,0,9
Europe,Hungary,7,2,0,9
Europe,Malta,7,0,0,7
Europe,Poland,6,0,0,6
Europe,Lithuania,4,0,0,4
Europe,Iceland,3,0,0,3
Europe,Czech Republic,2,0,0,2
Europe,Estonia,2,0,0,2
Europe,Latvia,2,0,0,2
Europe,Andorra,1,0,0,1
Asia,Japan,287,70,20,377
Asia,China,102,16,5,123
Asia,Hong Kong,51,18,9,78
Asia,Singapore,42,6,3,51
Asia,Taiwan,36,10,3,49
Asia,Thailand,28,5,2,35
Asia,South Korea,25,8,1,34
Asia,Macau,6,7,3,16
Asia,Vietnam,7,0,0,7
Asia,Malaysia,5,0,0,5
Asia,Dubai,0,1,0,1
North America,USA,189,51,13,253
North America,Canada,24,2,0,26
North America,Mexico,16,2,0,18
South America,Brazil,15,6,0,21
South America,Argentina,6,1,0,7